Mobile Name,Price,Discount,Ratings,Desc
Xiaomi Redmi 12 5G,"₹11,499",7%,4.55,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR BlasterSnapdragon 4 Gen2, Octa Core, 2.2 GHz Processor4 GB RAM, 128 GB inbuilt5000 mAh Battery with 18W Fast Charging6.79 inches, 1080 x 2460 px, 90 Hz Display with Punch Hole50 MP + 2 MP Dual Rear & 8 MP Front CameraMemory Card (Hybrid), upto 1 TBAndroid v13"
Xiaomi Redmi Note 13 Pro Plus,"₹21,990",None,4.35,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR BlasterDimensity 7200 Ultra, Octa Core, 2.8 GHz Processor12 GB RAM, 256 GB inbuilt5000 mAh Battery with 120W Fast Charging6.67 inches, 1220 x 2712 px, 144 Hz Display with Punch Hole200 MP + 8 MP + 2 MP Triple Rear & 16 MP Front CameraMemory Card Not SupportedAndroid v13"
Xiaomi Redmi 12 5G (6GB RAM + 128GB),"₹12,999",4%,4.75,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR BlasterSnapdragon 4 Gen2, Octa Core, 2.2 GHz Processor6 GB RAM, 128 GB inbuilt5000 mAh Battery with 18W Fast Charging6.79 inches, 1080 x 2460 px, 90 Hz Display with Punch Hole50 MP + 2 MP Dual Rear & 8 MP Front CameraMemory Card (Hybrid), upto 1 TBAndroid v13"
Xiaomi Redmi 12 5G (8GB RAM + 256GB),"₹14,999",6%,4.6,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR BlasterSnapdragon 4 Gen2, Octa Core, 2.2 GHz Processor8 GB RAM, 256 GB inbuilt5000 mAh Battery with 18W Fast Charging6.79 inches, 1080 x 2460 px, 90 Hz Display with Punch Hole50 MP + 2 MP Dual Rear & 8 MP Front CameraMemory Card (Hybrid), upto 1 TBAndroid v13"
Xiaomi Redmi Note 13 Pro Max 5G,"₹20,499",None,4,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR BlasterSnapdragon  7 Gen1, Octa Core, 2.4 GHz Processor6 GB RAM, 128 GB inbuilt5200 mAh Battery with 67W Fast Charging6.67 inches, 1080 x 2460 px, 120 Hz Display with Punch Hole108 MP Quad Rear & 32 MP Front CameraMemory Card Supported, upto 512 GBAndroid v12"
Xiaomi Redmi Note 13 Pro 5G,"₹15,990",None,4.1,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR BlasterSnapdragon 7s Gen 2, Octa Core, 2.4 GHz Processor8 GB RAM, 128 GB inbuilt5100 mAh Battery with 67W Fast Charging6.67 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole200 MP + 8 MP + 2 MP Triple Rear & 16 MP Front CameraAndroid v13No FM Radio"
Xiaomi Redmi Note 12 Pro 5G,"₹20,999",None,4.75,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR BlasterDimensity 1080, Octa Core, 2.6 GHz Processor6 GB RAM, 128 GB inbuilt5000 mAh Battery with 67W Fast Charging6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole50 MP + 8 MP + 2 MP Triple Rear & 16 MP Front CameraAndroid v12No FM Radio"
Xiaomi Redmi 12 4G,"₹8,999",10%,4.5,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi, IR BlasterHelio G88, Octa Core, 2 GHz Processor4 GB RAM, 128 GB inbuilt5000 mAh Battery with 18W Fast Charging6.79 inches, 1080 x 2460 px, 90 Hz Display with Punch Hole50 MP + 8 MP + 2 MP Triple Rear & 8 MP Front CameraMemory Card (Hybrid), upto 1 TBAndroid v13"
Xiaomi Redmi Note 12 5G,"₹15,998",5%,3.9,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR BlasterSnapdragon 4 Gen 1, Octa Core, 2 GHz Processor4 GB RAM, 128 GB inbuilt5000 mAh Battery with 33W Fast Charging6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole48 MP + 8 MP + 2 MP Triple Rear & 13 MP Front CameraMemory Card (Hybrid), upto 1 TBAndroid v12"
Xiaomi Redmi Note 13,"₹12,990",None,4.5,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, IR BlasterDimensity 6080, Octa Core, 2.4 GHz Processor6 GB RAM, 128 GB inbuilt5000 mAh Battery with 33W Fast Charging6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole100 MP + 2 MP Dual Rear & 16 MP Front CameraAndroid v13No FM Radio"
